filename,width,depth,auxiliary,seed,accuracy,student_loss_teacher,student_acc_5hot
results_Hidden64_Depth1_Auxiliary3_seed0.pt,64,1,3,0,0.4296875,1.4149446487426758,0.9453125
results_Hidden64_Depth1_Auxiliary10_seed1.pt,64,1,10,1,0.7421875,1.1456027030944824,0.953125
results_Hidden64_Depth1_Auxiliary50_seed2.pt,64,1,50,2,0.7578125,0.9052399396896362,0.984375
results_Hidden64_Depth1_Auxiliary100_seed3.pt,64,1,100,3,0.75,0.9227045178413391,0.9921875
results_Hidden64_Depth1_Auxiliary1000_seed4.pt,64,1,1000,4,0.8671875,0.7273948788642883,0.9921875
results_Hidden64_Depth2_Auxiliary3_seed0.pt,64,2,3,0,0.453125,1.9010348320007324,0.828125
results_Hidden64_Depth2_Auxiliary3_seed1.pt,64,2,3,1,0.1484375,2.161879777908325,0.6875
results_Hidden64_Depth2_Auxiliary3_seed2.pt,64,2,3,2,0.09375,2.614506244659424,0.5078125
results_Hidden64_Depth2_Auxiliary3_seed3.pt,64,2,3,3,0.0625,2.589651107788086,0.5625
results_Hidden64_Depth2_Auxiliary3_seed4.pt,64,2,3,4,0.21875,2.2057204246520996,0.71875
results_Hidden64_Depth2_Auxiliary10_seed0.pt,64,2,10,0,0.3671875,1.4869484901428223,0.984375
results_Hidden64_Depth2_Auxiliary10_seed1.pt,64,2,10,1,0.421875,1.7349942922592163,0.8828125
results_Hidden64_Depth2_Auxiliary10_seed2.pt,64,2,10,2,0.4375,1.7349941730499268,0.8125
results_Hidden64_Depth2_Auxiliary10_seed3.pt,64,2,10,3,0.359375,1.5472586154937744,0.984375
results_Hidden64_Depth2_Auxiliary10_seed4.pt,64,2,10,4,0.4609375,1.4867618083953857,0.9296875
results_Hidden64_Depth2_Auxiliary50_seed0.pt,64,2,50,0,0.7890625,0.9657304286956787,0.9765625
results_Hidden64_Depth2_Auxiliary50_seed1.pt,64,2,50,1,0.7734375,0.8553498983383179,0.9765625
results_Hidden64_Depth2_Auxiliary50_seed2.pt,64,2,50,2,0.7578125,1.017813801765442,0.921875
results_Hidden64_Depth2_Auxiliary50_seed3.pt,64,2,50,3,0.75,1.0582849979400635,0.9921875
